forecast_month,feature,shap_importance,shap_value,abs_shap
2025-02,import_pastcov_lag-2,0.6102421283721924,-0.6102421283721924,0.6102421283721924
2025-03,import_pastcov_lag-2,0.9570400714874268,-0.9570400714874268,0.9570400714874268
2025-03,การเมือง_pastcov_lag-2,0.8396295309066772,0.8396295309066772,0.8396295309066772
2025-03,export_pastcov_lag-1,0.5317592620849609,0.5317592620849609,0.5317592620849609
2025-04,unemployment_rate_pastcov_lag-2,0.6509127616882324,0.6509127616882324,0.6509127616882324
2025-04,import_pastcov_lag-2,0.6503053903579712,-0.6503053903579712,0.6503053903579712
2025-04,export_pastcov_lag-1,0.3050967156887054,0.3050967156887054,0.3050967156887054
2025-05,import_pastcov_lag-2,0.6853901147842407,-0.6853901147842407,0.6853901147842407
2025-05,export_pastcov_lag-1,0.6619413495063782,0.6619413495063782,0.6619413495063782
2025-05,การเมือง_pastcov_lag-1,0.5552377700805664,-0.5552377700805664,0.5552377700805664
2025-06,ราคาน้ำมันเชื้อเพลิง_pastcov_lag-2,1.141886830329895,1.141886830329895,1.141886830329895
2025-06,import_pastcov_lag-2,0.771268904209137,-0.771268904209137,0.771268904209137
2025-06,cpi_pastcov_lag-2,0.390592485666275,0.390592485666275,0.390592485666275
2025-07,import_pastcov_lag-2,0.7878174185752869,-0.7878174185752869,0.7878174185752869
2025-07,เศรษฐกิจโลก_pastcov_lag-2,0.7178359031677246,0.7178359031677246,0.7178359031677246
2025-07,unemployment_rate_pastcov_lag-2,0.3531258404254913,0.3531258404254913,0.3531258404254913
2025-08,import_pastcov_lag-2,0.8592522740364075,-0.8592522740364075,0.8592522740364075
2025-08,unemployment_rate_pastcov_lag-2,0.4845246374607086,0.4845246374607086,0.4845246374607086
2025-08,export_pastcov_lag-1,0.3073928356170654,0.3073928356170654,0.3073928356170654
2025-09,import_pastcov_lag-2,1.0196256637573242,-1.0196256637573242,1.0196256637573242
2025-09,cpi_pastcov_lag-2,0.7912804484367371,0.7912804484367371,0.7912804484367371
2025-09,export_pastcov_lag-1,0.6335815191268921,0.6335815191268921,0.6335815191268921
2025-10,export_pastcov_lag-1,1.440529704093933,1.440529704093933,1.440529704093933
2025-10,unemployment_rate_pastcov_lag-2,1.3296914100646973,1.3296914100646973,1.3296914100646973
2025-10,import_pastcov_lag-2,0.7912431359291077,-0.7912431359291077,0.7912431359291077
