date,value
7/14/1998,265.71
7/15/1998,273.75
7/16/1998,282.01
7/17/1998,295.28
7/20/1998,297.74
7/21/1998,287.34
7/22/1998,286.52
7/23/1998,276.2
7/24/1998,275.44
7/27/1998,269.93
7/28/1998,266.72
7/29/1998,263.49
7/30/1998,266.74
7/31/1998,266.72
8/3/1998,260.89
8/4/1998,258.04
8/5/1998,254.07
8/6/1998,252.07
8/7/1998,247.54
8/10/1998,238.3
8/11/1998,234.14
8/13/1998,230.87
8/14/1998,243.62
8/17/1998,235.24
8/18/1998,235.68
8/19/1998,243.37
8/20/1998,243
8/21/1998,238.92
8/24/1998,233.15
8/25/1998,230.22
8/26/1998,227.5
8/27/1998,226.85
8/28/1998,218.85
8/31/1998,214.53
9/1/1998,211.09
9/2/1998,207.59
9/3/1998,207.4
9/4/1998,207.31
9/7/1998,220.56
9/8/1998,212.85
9/9/1998,213.98
9/10/1998,218.91
9/11/1998,212.7
9/14/1998,211.34
9/15/1998,211.08
9/16/1998,218.7
9/17/1998,220.05
9/18/1998,221.85
9/21/1998,221.88
9/22/1998,223.14
9/23/1998,231.28
9/24/1998,250.18
9/25/1998,248.93
9/28/1998,255.53
9/29/1998,255.35
9/30/1998,253.82
10/1/1998,254.47
10/2/1998,251.56
10/5/1998,246.26
10/6/1998,248.14
10/7/1998,263.23
10/8/1998,285.22
10/9/1998,292.5
10/12/1998,290.8
10/13/1998,290.19
10/14/1998,285.12
10/15/1998,295.19
10/16/1998,319.22
10/19/1998,314.17
10/20/1998,331.36
10/21/1998,323.05
10/22/1998,321.57
10/26/1998,319.02
10/27/1998,319.23
10/28/1998,330.45
10/29/1998,345.07
10/30/1998,331.29
11/2/1998,334.93
11/3/1998,343.16
11/4/1998,354.11
11/5/1998,362.08
11/6/1998,376.6
11/9/1998,363.85
11/10/1998,336.62
11/11/1998,356.26
11/12/1998,333.06
11/13/1998,333.59
11/16/1998,345.19
11/17/1998,344.08
11/18/1998,345.13
11/19/1998,358.56
11/20/1998,371.93
11/23/1998,390.43
11/24/1998,383.66
11/25/1998,391.01
11/26/1998,382.2
11/27/1998,373.09
11/30/1998,362.82
12/1/1998,356.16
12/2/1998,343.12
12/3/1998,337.86
12/4/1998,337.63
12/8/1998,350.27
12/9/1998,359.54
12/11/1998,360.3
12/14/1998,344.89
12/15/1998,349.18
12/16/1998,344.53
12/17/1998,338.65
12/18/1998,341.92
12/21/1998,337.17
12/22/1998,343.34
12/23/1998,344.27
12/24/1998,346.93
12/25/1998,356.16
12/28/1998,360.29
12/29/1998,351.81
12/30/1998,355.81
1/4/1999,356.68
1/5/1999,378.51
1/6/1999,402.56
1/7/1999,397.72
1/8/1999,399.43
1/11/1999,399.2
1/12/1999,399.81
1/13/1999,385.58
1/14/1999,386.96
1/15/1999,381.82
1/18/1999,387.61
1/19/1999,386.45
1/20/1999,394.85
1/21/1999,385.75
1/22/1999,376.48
1/25/1999,363.36
1/26/1999,366.77
1/27/1999,373.25
1/28/1999,366.16
1/29/1999,363
2/1/1999,358.84
2/2/1999,347.21
2/3/1999,338.2
2/4/1999,338.27
2/5/1999,337.96
2/8/1999,330.77
2/9/1999,320.36
2/10/1999,314.74
2/11/1999,313.65
2/12/1999,347.43
2/15/1999,344.96
2/16/1999,350.36
2/17/1999,338.02
2/18/1999,336.47
2/19/1999,336.57
2/22/1999,334.52
2/23/1999,333.71
2/24/1999,336.17
2/25/1999,332.67
2/26/1999,340.94
3/2/1999,338.82
3/3/1999,341.51
3/4/1999,337.14
3/5/1999,336.21
3/8/1999,336.68
3/9/1999,329.59
3/10/1999,333.28
3/11/1999,345.21
3/12/1999,345.79
3/15/1999,360.88
3/16/1999,354.95
3/17/1999,356.8
3/18/1999,362.91
3/19/1999,367.69
3/22/1999,366.09
3/23/1999,365.74
3/24/1999,360.35
3/25/1999,365.7
3/26/1999,366.91
3/29/1999,363.32
3/30/1999,359.76
3/31/1999,352.01
4/1/1999,356.85
4/2/1999,357.1
4/5/1999,350.73
4/7/1999,359.52
4/8/1999,365.09
4/9/1999,371.95
4/12/1999,370.68
4/16/1999,402.54
4/19/1999,412.19
